REF + MAQ;Item;Desc. item;Tipo inventario;AREA;Preforma;Ciclo;Maquina;Cavidades;BOT/HORA;UNIDAD DE EMPAQUE;;Centro de trabajo;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 18.5 G R1881;1085;PREFORMA TRANSPARENTE 18.5 G R1881;IN100501  ;INYECCIÓN;18,5;24,00;;48;7200;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 18 G R28;1084;PREFORMA TRANSPARENTE 18 G R28;IN100501  ;INYECCIÓN;18;21,00;;32;5486;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSP 10 G RC26,7 PCR 55%;6257;PREFORMA TRANSP 10 G RC26,7 PCR 55%;;INYECCIÓN;10;;HAITIAN 4;;9600;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 17,5 G R24;5994;PREFORMA TRANSPARENTE 17,5 G R24;IN100501  ;INYECCIÓN;17,5;19,00990099;HAITIAN 2;16;3030;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 17 G R24;5994;PREFORMA TRANSPARENTE 17 G R24;IN100501  ;INYECCIÓN;17,5;19,00990099;HAITIAN 2;16;3030;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 17,5 G RC26,7;1083;PREFORMA TRANSPARENTE 17,5 G RC26,7;IN100501  ;INYECCIÓN;17,5;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 16,5 G R1881;1080;PREFORMA TRANSPARENTE 16,5 G R1881;IN100501  ;INYECCIÓN;16.5 ;21,00;;48;8229;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 16,3 G R28;4423;PREFORMA TRANSPARENTE 16,3 G R28;IN100501  ;INYECCIÓN;;19,00;;32;6063;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 16 G R28;4423;PREFORMA TRANSPARENTE 16 G R28;IN100501  ;INYECCIÓN;16;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 15,6 G RS24;1079;PREFORMA TRANSPARENTE 15,6 G RS24;IN100501  ;INYECCIÓN;15,6;19,00;;32;6063;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 15,2 G RS24;1078;PREFORMA TRANSPARENTE 15,2 G RS24;IN100501  ;INYECCIÓN;15,2;19,00;;16;3032;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 14,5 G RC26,7;1077;PREFORMA TRANSPARENTE 14,5 G RC26,7;IN100501  ;INYECCIÓN;14,5;21,00;;48;8229;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 137G R94;2838;PREFORMA TRANSPARENTE 137G R94;IN100501  ;INYECCIÓN;137;50,00;;4;288;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 13,4 G R24;4823;PREFORMA TRANSPARENTE 13,4 G R24;IN100501  ;INYECCIÓN;13,4;18,00;;32;6400;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 13 G R28;1075;PREFORMA TRANSPARENTE 13 G R28;IN100501  ;INYECCIÓN;13;21,00;;32;5486;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 13 G PILFER;1076;PREFORMA TRANSPARENTE 13 G PILFER;IN100501  ;INYECCIÓN;13;21,00;;32;5486;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 12,5 G RC26,7;3853;PREFORMA TRANSPARENTE 12,5 G RC26,7;IN100501  ;INYECCIÓN;12,5;19,00;;48;9095;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 12 G R 1881;2274;PREFORMA TRANSPARENTE 12 G R 1881;IN100501  ;INYECCIÓN;12;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 11 G R1881 X 32;1148;PREFORMA TRANSPARENTE 11 G R1881 X 32;IN100501  ;INYECCIÓN;11;17,00;;32;6776;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 11 G R1881;1073;PREFORMA TRANSPARENTE 11 G R1881;IN100501  ;INYECCIÓN;11;17,00;;32;6776;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 11 G PILFER;1147;PREFORMA TRANSPARENTE 11 G PILFER;IN100501  ;INYECCIÓN;11;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 10 G RC26,7;1071;PREFORMA TRANSPARENTE 10 G RC26,7;IN100501  ;INYECCIÓN;10;18,00;;48;9600;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 10 G PILFER;1072;PREFORMA TRANSPARENTE 10 G PILFER;IN100501  ;INYECCIÓN;10;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSP 84 G R48 PCR;5571;PREFORMA TRANSP 84 G R48 PCR;IN300501  ;INYECCIÓN;;41,00;HAITIAN 2;16;1405;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSP 26 G R45 PCR 30% + UV2%;3640;PREFORMA TRANSP 26 G R45 PCR 30% + UV2%;IN100501  ;INYECCIÓN;26;27,00;;32;4267;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSP 23,7G R1881 PCR 50%;5761;PREFORMA TRANSP 23,7G R1881 PCR 50%;;INYECCIÓN;;28,00;;32;4114;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSP 21G R1881 PCR 50%;5807;PREFORMA TRANSP 21G R1881 PCR 50%;;INYECCIÓN;21;23,00;;32;5009;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSP 16.5 G R1881 PCR;5604;PREFORMA TRANSP 16.5 G R1881 PCR;IN300501  ;INYECCIÓN;;21,00;;48;8229;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSP 15 G RS24 #2;4898;PREFORMA TRANSP 15 G RS24 #2;IN100501  ;INYECCIÓN;15;19,00;;32;6063;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSP 11 G R1881 PCR 50%;5831;PREFORMA TRANSP 11 G R1881 PCR 50%;IN100501  ;INYECCIÓN;11;17,00;;32;6776;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANS 75 G RC33 PCR 50%;5115;PREFORMA TRANS 75 G RC33 PCR 50%;;INYECCIÓN;;;WELTEC 3 ;;2304;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA R 63 TR 520 GR;1144;PREFORMA R 63 TR 520 GR;IN100501  ;INYECCIÓN;520;120,00;;6;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA PRUEBAS GENERICO;2149;PREFORMA PRUEBAS GENERICO;IN100501  ;INYECCIÓN;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA BONAIRE VARITAS 10 G 40 ML;2814;PREFORMA BONAIRE VARITAS 10 G 40 ML;IN100501  ;INYECCIÓN;10;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA BLANCA 84 G R48;2723;PREFORMA BLANCA 84 G R48;IN100501  ;INYECCIÓN;84;41,00;;16;1405;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA BLANCA 72 G R48;1151;PREFORMA BLANCA 72 G R48;IN100501  ;INYECCIÓN;72;34,50;;16;1670;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA BLANCA 520 G R63;1112;PREFORMA BLANCA 520 G R63;IN100501  ;INYECCIÓN;520;120,00;;6;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA BLANCA 34 G R45;3570;PREFORMA BLANCA 34 G R45;IN100501  ;INYECCIÓN;34;39,50;;12;1094;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA BLANCA 26 G R45;3569;PREFORMA BLANCA 26 G R45;IN100501  ;INYECCIÓN;26;27,00;;32;4267;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AZUL 84 G R48;1107;PREFORMA AZUL 84 G R48;IN100501  ;INYECCIÓN;84;41,00;;16;1405;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AZUL 72 G R48;1105;PREFORMA AZUL 72 G R48;IN100501  ;INYECCIÓN;72;36,00;;16;1600;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AZUL 72 G R48;1152;PREFORMA AZUL 72 G R48;IN100501  ;INYECCIÓN;72;34,50;;16;1670;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AZUL 47 G R1881;4844;PREFORMA AZUL 47 G R1881;IN100501  ;INYECCIÓN;47;37,00;;16;1557;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AZUL 40,5 G R1881;1098;PREFORMA AZUL 40,5 G R1881;IN100501  ;INYECCIÓN;40,5;34,50;;32;3339;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AZUL 35,5 G R1881;4164;PREFORMA AZUL 35,5 G R1881;IN100501  ;INYECCIÓN;35,5;29,00;;32;3972;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AZUL 31 G R1881;1096;PREFORMA AZUL 31 G R1881;IN100501  ;INYECCIÓN;31;28,50;;32;4042;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AZUL 28 G R1881;1094;PREFORMA AZUL 28 G R1881;IN100501  ;INYECCIÓN;28;27,00;;32;4267;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AZUL 18,5 G R1881*;1086;PREFORMA AZUL 18,5 G R1881*;IN100501  ;INYECCIÓN;18,5;21,00;;48;8229;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AZUL 18,5 G R1881;1086;PREFORMA AZUL 18,5 G R1881;IN100501  ;INYECCIÓN;18,5;24,00;;48;7200;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AZUL 16,5 G R1881;1081;PREFORMA AZUL 16,5 G R1881;IN100501  ;INYECCIÓN;16.5 ;21,00;;48;8229;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AZUL 11 G R1881 X 32;4859;PREFORMA AZUL 11 G R1881 X 32;IN100501  ;INYECCIÓN;11;17,00;;32;6776;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AMBAR CLARO 16,5 G R1881;2144;PREFORMA AMBAR CLARO 16,5 G R1881;IN100501  ;INYECCIÓN;16,5;21,00;;48;8229;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AMBAR 18,5 G R1881;1088;PREFORMA AMBAR 18,5 G R1881;IN100501  ;INYECCIÓN;18,5;21,00;;48;8229;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AMBAR 16,5 G R1881;1082;PREFORMA AMBAR 16,5 G R1881;IN100501  ;INYECCIÓN;16.5 ;21,00;;48;8229;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AMBAR 11 G R1881;1074;PREFORMA AMBAR 11 G R1881;IN100501  ;INYECCIÓN;11;17,00;;32;6776;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AMARILLA 84 G R48;2310;PREFORMA AMARILLA 84 G R48;IN100501  ;INYECCIÓN;84;41,00;;16;1405;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AMARILLA 520 G R63;1111;PREFORMA AMARILLA 520 G R63;IN100501  ;INYECCIÓN;520;120,00;;6;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AMARILLA 28 G R1881;2455;PREFORMA AMARILLA 28 G R1881;IN100501  ;INYECCIÓN;28;27,00;;32;4267;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA AMARILLA 16,5 G R1881;2456;PREFORMA AMARILLA 16,5 G R1881;IN100501  ;INYECCIÓN;16,5;21,00;;48;8229;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JUGO 1000CC TR 41 G R28 MEGA 1         ;;JUGO 1000CC TR 41 G R28;IN300501  ;SOPLADO;;8,00;MEGA 1         ;2;900;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA PRUEBA GENERICA ;2150;BOTELLA PRUEBA GENERICA;IN300501  ;SOPLADO;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA PEAD SUAVIZANTE 2000CC AZUL 80GR ;2236;BOTELLA PEAD SUAVIZANTE 2000CC AZUL 80GR;IN300701  ;SOPLADO;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA PEAD CLORO 500CC BLANCA 26,2GR TONGDA POLIET  ;4150;BOTELLA PEAD CLORO 500CC BLANCA 26,2GR;IN300701  ;SOPLADO;;10,29;TONGDA POLIET  ;6;2100;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA PEAD CLORO 500CC BLANCA 26,2GR TONGDA POLIET 2;4150;BOTELLA PEAD CLORO 500CC BLANCA 26,2GR;IN300701  ;SOPLADO;;10,29;TONGDA POLIET 2;6;2100;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA PEAD CLORO 500CC BLANCA 26,2GR TONGDA POLIET  2;4150;BOTELLA PEAD CLORO 500CC BLANCA 26,2GR;IN300701  ;SOPLADO;;10,29;TONGDA POLIET  2;6;2100;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA PEAD CLORO 2000CC BLANCA 65GR TONGDA POLIET  ;2179;BOTELLA PEAD CLORO 2000CC BLANCA 65GR;IN300701  ;SOPLADO;;10,29;TONGDA POLIET  ;6;2100;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA PEAD CLORO 2000CC BLANCA 65GR TONGDA POLIET 2;2179;BOTELLA PEAD CLORO 2000CC BLANCA 65GR;IN300701  ;SOPLADO;;10,29;TONGDA POLIET 2;6;2100;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA PEAD CLORO 2000CC BLANCA 63GR TONGDA POLIET  ;2712;BOTELLA PEAD CLORO 2000CC BLANCA 63GR;IN300701  ;SOPLADO;;10,29;TONGDA POLIET  ;6;2100;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA PEAD CLORO 2000CC BLANCA 63GR TONGDA POLIET 2;2712;BOTELLA PEAD CLORO 2000CC BLANCA 63GR;IN300701  ;SOPLADO;;10,29;TONGDA POLIET 2;6;2100;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA PEAD CLORO 2000CC BLANCA 62GR ;3275;BOTELLA PEAD CLORO 2000CC BLANCA 62GR;IN300701  ;SOPLADO;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 5000 TR 75G R33 SEMI 35        ;5508;BOTELLA ONE AGUA 5000 TR 75G R33;IN300501  ;SOPLADO;;13,58;SEMI 35        ;2;530;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 5000 TR 75G R33 AOLI 5.        ;5508;BOTELLA ONE AGUA 5000 TR 75G R33;IN300501  ;SOPLADO;;8,00;AOLI 5.        ;2;900;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 5000 TR 75G R33 SEMI 30        ;5508;BOTELLA ONE AGUA 5000 TR 75G R33;IN300501  ;SOPLADO;;10,91;SEMI 30        ;1;330;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 TR 10,5 R26,7CMP QUINK LEOPARD 5;6005;BOTELLA ONE AGUA 300 TR 10,5 R26,7CMP;IN300501  ;SOPLADO;;3,60;QUINK LEOPARD 5;9;16000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 TR 8.7 R26.7_ QUINK LEOPARD 5;5351;BOTELLA ONE AGUA 300 TR 8.7 R26.7_;IN300501  ;SOPLADO;;3,60;QUINK LEOPARD 5;9;18000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 TR 8.7 R26.7* QUINK LEOPARD 5;5351;BOTELLA ONE AGUA 300 TR 8.7 R26.7*;IN300501  ;SOPLADO;;3,60;QUINK LEOPARD 5;9;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 TR 8.7 R26.7 QUINK LEOPARD 3;5351;BOTELLA ONE AGUA 300 TR 8.7 R26.7;IN300701  ;SOPLADO;;2,60;QUINK LEOPARD 3;4;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 TR 8.7 R26.7 QUINK LEOPARD 4;5351;BOTELLA ONE AGUA 300 TR 8.7 R26.7;IN300501  ;SOPLADO;;2,06;QUINK LEOPARD 4;4;7000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 TR 8.7 R26.7. QUINK LEOPARD 5;5351;BOTELLA ONE AGUA 300 TR 8.7 R26.7.;IN300501  ;SOPLADO;;3,60;QUINK LEOPARD 5;9;17000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 TR 8.7 R26.7 QUINK LEOPARD 5;5351;BOTELLA ONE AGUA 300 TR 8.7 R26.7;IN300501  ;SOPLADO;;3,60;QUINK LEOPARD 5;9;16000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 TR 10 R26,7_ QUINK LEOPARD 5;3521;BOTELLA ONE AGUA 300 TR 10 R26,7_;IN300501  ;SOPLADO;;3,60;QUINK LEOPARD 5;9;18000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 TR 10 R26,7* QUINK LEOPARD 5;3521;BOTELLA ONE AGUA 300 TR 10 R26,7*;IN300501  ;SOPLADO;;3,60;QUINK LEOPARD 5;9;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 TR 10 R26,7 AOLI 1         ;3521;BOTELLA ONE AGUA 300 TR 10 R26,7;IN300503  ;SOPLADO;;4,91;AOLI 1         ;3;2200;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 TR 10 R26,7 AOLI 2         ;3521;BOTELLA ONE AGUA 300 TR 10 R26,7;IN300503  ;SOPLADO;;4,91;AOLI 2         ;3;2200;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 TR 10 R26,7 AOLI 4         ;3521;BOTELLA ONE AGUA 300 TR 10 R26,7;IN300503  ;SOPLADO;;4,91;AOLI 4         ;3;2200;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 TR 10 R26,7 QUINKO LEOPARD ;3521;BOTELLA ONE AGUA 300 TR 10 R26,7;IN300503  ;SOPLADO;;2,40;QUINKO LEOPARD ;4;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 TR 10 R26,7 QUINK LEOPARD 3;3521;BOTELLA ONE AGUA 300 TR 10 R26,7;IN300503  ;SOPLADO;;2,40;QUINK LEOPARD 3;4;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 TR 10 R26,7 QUINK LEOPARD 4;3521;BOTELLA ONE AGUA 300 TR 10 R26,7;IN300503  ;SOPLADO;;2,06;QUINK LEOPARD 4;4;7000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 TR 10 R26,7. QUINK LEOPARD 5;3521;BOTELLA ONE AGUA 300 TR 10 R26,7.;IN300501  ;SOPLADO;;3,60;QUINK LEOPARD 5;9;17000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 TR 10 R26,7 QUINK LEOPARD 5;3521;BOTELLA ONE AGUA 300 TR 10 R26,7;IN300501  ;SOPLADO;;3,60;QUINK LEOPARD 5;9;16000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 BOLSAS TR 8.7 R26.7_ QUINK LEOPARD 5;5407;BOTELLA ONE AGUA 300 BOLSAS TR 8.7 R26.7_;IN300501  ;SOPLADO;;3,60;QUINK LEOPARD 5;9;18000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 BOLSAS TR 8.7 R26.7* QUINK LEOPARD 5;5407;BOTELLA ONE AGUA 300 BOLSAS TR 8.7 R26.7*;IN300501  ;SOPLADO;;3,60;QUINK LEOPARD 5;9;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 BOLSAS TR 8.7 R26.7 QUINK LEOPARD 3;5407;BOTELLA ONE AGUA 300 BOLSAS TR 8.7 R26.7;IN300501  ;SOPLADO;;2,40;QUINK LEOPARD 3;4;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 BOLSAS TR 8.7 R26.7 QUINK LEOPARD 4;5407;BOTELLA ONE AGUA 300 BOLSAS TR 8.7 R26.7;IN300501  ;SOPLADO;;2,06;QUINK LEOPARD 4;4;7000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 BOLSAS TR 8.7 R26.7. QUINK LEOPARD 5;5407;BOTELLA ONE AGUA 300 BOLSAS TR 8.7 R26.7.;IN300501  ;SOPLADO;;3,60;QUINK LEOPARD 5;9;17000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE AGUA 300 BOLSAS TR 8.7 R26.7 QUINK LEOPARD 5;5407;BOTELLA ONE AGUA 300 BOLSAS TR 8.7 R26.7;IN300501  ;SOPLADO;;3,60;QUINK LEOPARD 5;9;16000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE 300CC TR 11 R1881 ;3499;BOTELLA ONE 300CC TR 11 R1881;IN300503  ;SOPLADO;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA ONE 300CC TR 11 R1881 QUINK LEOPARD 2;3499;BOTELLA ONE 300CC TR 11 R1881;IN300501  ;SOPLADO;;2,27;QUINK LEOPARD 2;6;9500;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA AGUA POLAR 600CC TR 19,5 RC 26,7 ;3782;BOTELLA AGUA POLAR 600CC TR 19,5 RC 26,7;IN300503  ;SOPLADO;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA AGUA ONE 5000 TR 92 G R33 SEMI 30        ;4086;BOTELLA AGUA ONE 5000 TR 92 G R33;IN300503  ;SOPLADO;;10,91;SEMI 30        ;1;330;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA AGUA ONE 5000 TR 92 G R33 SEMI 22        ;4086;BOTELLA AGUA ONE 5000 TR 92 G R33;IN300503  ;SOPLADO;;10,91;SEMI 22        ;1;330;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA AGUA ONE 5000 TR 92 G R33 SEMI BIDON 2   ;4086;BOTELLA AGUA ONE 5000 TR 92 G R33;IN300503  ;SOPLADO;;10,91;SEMI BIDON 2   ;1;330;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA AGUA ONE 5000 TR 92 G R33 SEMI 22        ;4201;BOTELLA AGUA ONE 5000 TR 92 G R33;IN300501  ;SOPLADO;;10,91;SEMI 22        ;1;330;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA AGUA ONE 5000 TR 92 G R33 AOLI 5.        ;4086;BOTELLA AGUA ONE 5000 TR 92 G R33;IN300501  ;SOPLADO;;8,00;AOLI 5.        ;2;900;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA AGUA ONE 5000 TR 92 G R33 SEMI 47        ;4086;BOTELLA AGUA ONE 5000 TR 92 G R33;IN300501  ;SOPLADO;;10,91;SEMI 47        ;1;330;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA AGUA ONE 5000 TR 92 G R33 SEMI 35        ;4086;BOTELLA AGUA ONE 5000 TR 92 G R33;IN300501  ;SOPLADO;;10,91;SEMI 35        ;1;330;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA AGUA OMI 5000 TR 92 G R33 ;4201;BOTELLA AGUA OMI 5000 TR 92 G R33;IN300503  ;SOPLADO;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA AGUA OMI 5000 TR 92 G R33 SEMI 30        ;4201;BOTELLA AGUA OMI 5000 TR 92 G R33;IN300501  ;SOPLADO;;10,91;SEMI 30        ;1;330;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA AGUA GAS 600 TR 18.5 R188 SEMI 32        ;3833;BOTELLA AGUA GAS 600 TR 18.5 R188;IN300503  ;SOPLADO;;8,00;SEMI 32        ;2;900;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA AGUA GAS 600 TR 18.5 R188 SEMI 23        ;3833;BOTELLA AGUA GAS 600 TR 18.5 R188;IN300503  ;SOPLADO;;8,00;SEMI 23        ;2;900;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA AGUA GAS 600 TR 18.5 R188 SEMI 45        ;3833;BOTELLA AGUA GAS 600 TR 18.5 R188;IN300503  ;SOPLADO;;8,00;SEMI 45        ;2;900;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA AGUA GAS 600 TR 18.5 R188 QUINK LEOPARD 2;3833;BOTELLA AGUA GAS 600 TR 18.5 R188;IN300503  ;SOPLADO;;2,27;QUINK LEOPARD 2;6;9500;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA AGUA GAS 600 TR 18.5 R188 SEMI 42        ;3833;BOTELLA AGUA GAS 600 TR 18.5 R188;IN300503  ;SOPLADO;;8,00;SEMI 42        ;2;900;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA AGUA 1000CC TR 21 R1881 QUINK LEOPARD 2;3500;BOTELLA AGUA 1000CC TR 21 R1881;IN300503  ;SOPLADO;;3,32;QUINK LEOPARD 2;6;6500;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA  AGUA PLAR 600 TR 19,5G RC ;3779;BOTELLA  AGUA PLAR 600 TR 19,5G RC;IN300503  ;SOPLADO;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOTELLA  AGUA PLAR 600 TR 19,5G RC QUINK LEOPARD 4;3779;BOTELLA  AGUA PLAR 600 TR 19,5G RC;IN300501  ;SOPLADO;;2,06;QUINK LEOPARD 4;4;7000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOT ZUMO JF 1000CC TR 31 G R1881 SEMI 32        ;4085;BOT ZUMO JF 1000CC TR 31 G R1881;IN300501  ;SOPLADO;;9,00;SEMI 32        ;2;800;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOT ZUMO JF 1000CC TR 31 G R1881 SEMI 23        ;4085;BOT ZUMO JF 1000CC TR 31 G R1881;IN300501  ;SOPLADO;;9,00;SEMI 23        ;2;800;;;;;;;;;;;;;;;;;;;;;;;;;;;;
